word,coefficient,sentiment,overlaps_with_positive
news,4.1200117684628905,negative,False
bad,3.655438381946927,negative,False
border,3.4635153559020484,negative,False
fake,3.404931336815611,negative,False
crime,3.3727326738953978,negative,False
terrible,3.0418257192320914,negative,False
corrupt,2.9686442531608046,negative,False
illegal,2.9681614401265883,negative,False
radical,2.9673972263014403,negative,False
witch,2.9255335737854904,negative,False
hunt,2.846406633760081,negative,False
disaster,2.664678048787371,negative,False
hoax,2.648568056685622,negative,False
dangerous,2.5303522534355816,negative,False
sad,2.519498952556713,negative,False
worst,2.482773859982648,negative,False
criminal,2.480513419858831,negative,False
disgrace,2.325573637018706,negative,False
lies,2.3221075956397907,negative,False
unfair,2.302221757290433,negative,False
failed,2.252604800246148,negative,False
crooked,2.2332176402757415,negative,False
hate,2.1386607050498783,negative,False
failing,2.039158926099294,negative,False
weak,2.026960824964845,negative,False
crisis,2.0253257600063175,negative,False
enemy,1.9078507576059702,negative,False
horrible,1.907577035601184,negative,False
disgraceful,1.8504534948461335,negative,False
angry,1.7859317129050156,negative,False
lying,1.6713331372288924,negative,False
stupid,1.6583018343958462,negative,False
pathetic,1.6522456648095483,negative,False
negative,1.5100654469289239,negative,False
criminals,1.3261058568688446,negative,False
loser,1.2694268850401482,negative,False
dishonest,1.1970547120664745,negative,False
liar,1.113804800714695,negative,False
failure,0.9569605777058262,negative,False
shameful,0.903968436477439,negative,False
fail,0.8908568876368625,negative,False
hillary,0.8222549006899301,negative,False
phony,0.8032679663135385,negative,False
wall,0.7381070483307601,negative,False
southern,0.6979694973845734,negative,False
abc13news,0.6430574580720569,negative,False
elected,0.5970939937838102,negative,False
opioid,0.5871727288869983,negative,False
schiff,0.5838340410088134,negative,False
justice,0.5836484561098789,negative,False
